"fltdate","Origin","n"
"822",2008-09-30,"IAD",198
"823",2008-10-01,"BWI",283
"824",2008-10-01,"DCA",250
"825",2008-10-01,"IAD",193
"826",2008-10-02,"BWI",285
"827",2008-10-02,"DCA",254
"828",2008-10-02,"IAD",197
"829",2008-10-03,"BWI",287
"830",2008-10-03,"DCA",254
"831",2008-10-03,"IAD",198
"832",2008-10-04,"BWI",230
"833",2008-10-04,"DCA",153
"834",2008-10-04,"IAD",167
"835",2008-10-05,"BWI",260
"836",2008-10-05,"DCA",218
"837",2008-10-05,"IAD",188
"838",2008-10-06,"BWI",283
"839",2008-10-06,"DCA",254
"840",2008-10-06,"IAD",196
"841",2008-10-07,"BWI",277
"842",2008-10-07,"DCA",245
"843",2008-10-07,"IAD",191
"844",2008-10-08,"BWI",283
"845",2008-10-08,"DCA",251
"846",2008-10-08,"IAD",192
"847",2008-10-09,"BWI",287
"848",2008-10-09,"DCA",254
"849",2008-10-09,"IAD",197
"850",2008-10-10,"BWI",287
"851",2008-10-10,"DCA",254
"852",2008-10-10,"IAD",197
"853",2008-10-11,"BWI",230
"854",2008-10-11,"DCA",153
"855",2008-10-11,"IAD",166
"856",2008-10-12,"BWI",262
"857",2008-10-12,"DCA",219
"858",2008-10-12,"IAD",188
"859",2008-10-13,"BWI",287
"860",2008-10-13,"DCA",253
"861",2008-10-13,"IAD",196
"862",2008-10-14,"BWI",278
"863",2008-10-14,"DCA",245
"864",2008-10-14,"IAD",194
"865",2008-10-15,"BWI",283
"866",2008-10-15,"DCA",251
"867",2008-10-15,"IAD",192
"868",2008-10-16,"BWI",286
"869",2008-10-16,"DCA",254
"870",2008-10-16,"IAD",197
"871",2008-10-17,"BWI",288
"872",2008-10-17,"DCA",254
"873",2008-10-17,"IAD",198
"874",2008-10-18,"BWI",230
"875",2008-10-18,"DCA",153
"876",2008-10-18,"IAD",166
"877",2008-10-19,"BWI",262
"878",2008-10-19,"DCA",219
"879",2008-10-19,"IAD",188
"880",2008-10-20,"BWI",287
"881",2008-10-20,"DCA",254
"882",2008-10-20,"IAD",197
"883",2008-10-21,"BWI",278
"884",2008-10-21,"DCA",245
"885",2008-10-21,"IAD",193
"886",2008-10-22,"BWI",283
"887",2008-10-22,"DCA",251
"888",2008-10-22,"IAD",194
"889",2008-10-23,"BWI",286
"890",2008-10-23,"DCA",254
"891",2008-10-23,"IAD",199
"892",2008-10-24,"BWI",287
"893",2008-10-24,"DCA",254
"894",2008-10-24,"IAD",200
"895",2008-10-25,"BWI",230
"896",2008-10-25,"DCA",153
"897",2008-10-25,"IAD",166
"898",2008-10-26,"BWI",262
"899",2008-10-26,"DCA",219
"900",2008-10-26,"IAD",189
"901",2008-10-27,"BWI",287
"902",2008-10-27,"DCA",254
"903",2008-10-27,"IAD",197
"904",2008-10-28,"BWI",278
"905",2008-10-28,"DCA",245
"906",2008-10-28,"IAD",192
"907",2008-10-29,"BWI",283
"908",2008-10-29,"DCA",251
"909",2008-10-29,"IAD",193
"910",2008-10-30,"BWI",286
"911",2008-10-30,"DCA",254
"912",2008-10-30,"IAD",197
"913",2008-10-31,"BWI",281
"914",2008-10-31,"DCA",253
"915",2008-10-31,"IAD",195
"916",2008-11-01,"BWI",233
"917",2008-11-01,"DCA",155
"918",2008-11-01,"IAD",175
"919",2008-11-02,"BWI",256
"920",2008-11-02,"DCA",217
"921",2008-11-02,"IAD",184
"922",2008-11-03,"BWI",287
"923",2008-11-03,"DCA",255
"924",2008-11-03,"IAD",193
"925",2008-11-04,"BWI",279
"926",2008-11-04,"DCA",251
"927",2008-11-04,"IAD",184
"928",2008-11-05,"BWI",282
"929",2008-11-05,"DCA",257
"930",2008-11-05,"IAD",192
"931",2008-11-06,"BWI",287
"932",2008-11-06,"DCA",255
"933",2008-11-06,"IAD",193
"934",2008-11-07,"BWI",288
"935",2008-11-07,"DCA",256
"936",2008-11-07,"IAD",194
"937",2008-11-08,"BWI",237
"938",2008-11-08,"DCA",162
"939",2008-11-08,"IAD",173
"940",2008-11-09,"BWI",257
"941",2008-11-09,"DCA",219
"942",2008-11-09,"IAD",185
"943",2008-11-10,"BWI",287
"944",2008-11-10,"DCA",256
"945",2008-11-10,"IAD",193
"946",2008-11-11,"BWI",279
"947",2008-11-11,"DCA",251
"948",2008-11-11,"IAD",184
"949",2008-11-12,"BWI",283
"950",2008-11-12,"DCA",257
"951",2008-11-12,"IAD",192
"952",2008-11-13,"BWI",287
"953",2008-11-13,"DCA",255
"954",2008-11-13,"IAD",193
"955",2008-11-14,"BWI",288
"956",2008-11-14,"DCA",256
"957",2008-11-14,"IAD",194
"958",2008-11-15,"BWI",236
"959",2008-11-15,"DCA",163
"960",2008-11-15,"IAD",173
"961",2008-11-16,"BWI",257
"962",2008-11-16,"DCA",219
"963",2008-11-16,"IAD",185
"964",2008-11-17,"BWI",287
"965",2008-11-17,"DCA",256
"966",2008-11-17,"IAD",193
"967",2008-11-18,"BWI",279
"968",2008-11-18,"DCA",252
"969",2008-11-18,"IAD",184
"970",2008-11-19,"BWI",283
"971",2008-11-19,"DCA",257
"972",2008-11-19,"IAD",192
"973",2008-11-20,"BWI",289
"974",2008-11-20,"DCA",256
"975",2008-11-20,"IAD",196
"976",2008-11-21,"BWI",290
"977",2008-11-21,"DCA",255
"978",2008-11-21,"IAD",196
"979",2008-11-22,"BWI",237
"980",2008-11-22,"DCA",163
"981",2008-11-22,"IAD",177
"982",2008-11-23,"BWI",259
"983",2008-11-23,"DCA",218
"984",2008-11-23,"IAD",189
"985",2008-11-24,"BWI",286
"986",2008-11-24,"DCA",257
"987",2008-11-24,"IAD",196
"988",2008-11-25,"BWI",289
"989",2008-11-25,"DCA",257
"990",2008-11-25,"IAD",198
"991",2008-11-26,"BWI",291
"992",2008-11-26,"DCA",257
"993",2008-11-26,"IAD",200
"994",2008-11-27,"BWI",200
"995",2008-11-27,"DCA",135
"996",2008-11-27,"IAD",146
"997",2008-11-28,"BWI",243
"998",2008-11-28,"DCA",137
"999",2008-11-28,"IAD",160
"1000",2008-11-29,"BWI",263
"1001",2008-11-29,"DCA",184
"1002",2008-11-29,"IAD",196
"1003",2008-11-30,"BWI",287
"1004",2008-11-30,"DCA",235
"1005",2008-11-30,"IAD",207
"1006",2008-12-01,"BWI",289
"1007",2008-12-01,"DCA",256
"1008",2008-12-01,"IAD",201
"1009",2008-12-02,"BWI",283
"1010",2008-12-02,"DCA",253
"1011",2008-12-02,"IAD",192
"1012",2008-12-03,"BWI",276
"1013",2008-12-03,"DCA",255
"1014",2008-12-03,"IAD",188
"1015",2008-12-04,"BWI",278
"1016",2008-12-04,"DCA",254
"1017",2008-12-04,"IAD",189
"1018",2008-12-05,"BWI",282
"1019",2008-12-05,"DCA",255
"1020",2008-12-05,"IAD",190
"1021",2008-12-06,"BWI",234
"1022",2008-12-06,"DCA",156
"1023",2008-12-06,"IAD",167
"1024",2008-12-07,"BWI",257
"1025",2008-12-07,"DCA",214
"1026",2008-12-07,"IAD",182
"1027",2008-12-08,"BWI",281
"1028",2008-12-08,"DCA",252
"1029",2008-12-08,"IAD",189
"1030",2008-12-09,"BWI",271
"1031",2008-12-09,"DCA",249
"1032",2008-12-09,"IAD",179
"1033",2008-12-10,"BWI",274
"1034",2008-12-10,"DCA",254
"1035",2008-12-10,"IAD",186
"1036",2008-12-11,"BWI",279
"1037",2008-12-11,"DCA",254
"1038",2008-12-11,"IAD",189
"1039",2008-12-12,"BWI",280
"1040",2008-12-12,"DCA",254
"1041",2008-12-12,"IAD",190
"1042",2008-12-13,"BWI",234
"1043",2008-12-13,"DCA",156
"1044",2008-12-13,"IAD",166
"1045",2008-12-14,"BWI",256
"1046",2008-12-14,"DCA",214
"1047",2008-12-14,"IAD",182
"1048",2008-12-15,"BWI",279
"1049",2008-12-15,"DCA",253
"1050",2008-12-15,"IAD",189
"1051",2008-12-16,"BWI",271
"1052",2008-12-16,"DCA",248
"1053",2008-12-16,"IAD",180
"1054",2008-12-17,"BWI",276
"1055",2008-12-17,"DCA",254
"1056",2008-12-17,"IAD",190
"1057",2008-12-18,"BWI",281
"1058",2008-12-18,"DCA",254
"1059",2008-12-18,"IAD",200
"1060",2008-12-19,"BWI",279
"1061",2008-12-19,"DCA",255
"1062",2008-12-19,"IAD",201
"1063",2008-12-20,"BWI",239
"1064",2008-12-20,"DCA",179
"1065",2008-12-20,"IAD",188
"1066",2008-12-21,"BWI",256
"1067",2008-12-21,"DCA",211
"1068",2008-12-21,"IAD",196
"1069",2008-12-22,"BWI",281
"1070",2008-12-22,"DCA",246
"1071",2008-12-22,"IAD",200
"1072",2008-12-23,"BWI",281
"1073",2008-12-23,"DCA",246
"1074",2008-12-23,"IAD",201
"1075",2008-12-24,"BWI",222
"1076",2008-12-24,"DCA",169
"1077",2008-12-24,"IAD",173
"1078",2008-12-25,"BWI",227
"1079",2008-12-25,"DCA",158
"1080",2008-12-25,"IAD",178
"1081",2008-12-26,"BWI",280
"1082",2008-12-26,"DCA",213
"1083",2008-12-26,"IAD",198
"1084",2008-12-27,"BWI",258
"1085",2008-12-27,"DCA",171
"1086",2008-12-27,"IAD",190
"1087",2008-12-28,"BWI",256
"1088",2008-12-28,"DCA",196
"1089",2008-12-28,"IAD",195
"1090",2008-12-29,"BWI",280
"1091",2008-12-29,"DCA",214
"1092",2008-12-29,"IAD",200
"1093",2008-12-30,"BWI",282
"1094",2008-12-30,"DCA",215
"1095",2008-12-30,"IAD",200
"1096",2008-12-31,"BWI",217
"1097",2008-12-31,"DCA",180
"1098",2008-12-31,"IAD",177
